,S1,S2,Pvalue
0,M,AG,0.03873442527808817
1,FG,RB,0.04467260439137428
2,FG,ZN,0.010577439134552051
3,CU,SF,0.010265454731544884
4,NI,PP,0.02447734187790199
5,NI,L,0.028088354907088248
6,RM,AG,0.022726116098434068
7,OI,I,0.017838541333339637
8,OI,V,0.008825442666873774
9,OI,JM,0.015580208956744758
10,OI,L,0.04111893932085169
11,HC,PB,0.02885871898929379
12,HC,ZN,0.006569914246562709
13,J,PB,0.008268136009586716
14,J,TC,0.043153796646988686
15,J,ZN,0.0014320171987709219
16,I,RU,0.04378014305132493
17,TA,PB,0.035785891823895584
18,TA,RB,0.015570940107490858
19,TA,MA,6.591491237572688e-06
20,TA,ZN,0.02000222551687397
21,TA,BU,0.043500936197656166
22,TA,PP,0.0012319311479362704
23,TA,RU,0.028486581987839182
24,TA,AL,0.038053029478716145
25,TA,L,0.00211041230720827
26,PB,RB,0.012523867990651671
27,PB,JM,0.004835967650811229
28,RB,ZN,4.6148455783416006e-05
29,RB,SF,0.047074764009370836
30,V,JM,0.006648219307815682
31,TC,ZN,0.04256702741543256
32,SF,AL,0.015378964572032167
